Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Wishlisted date,Cellar count,Link to wine,Label image,Wine price
Château Smith Haut-Lafitte,Les Hauts de Smith Pessac-Leognan Blanc,2010,Pessac-Léognan,France,Bordeaux White,3.99,4/20/15 22:39,,,,,White Wine,,,,https://www.vivino.com/wines/3948930,https://images.vivino.com/labels/0255mxny2spor.jpg,
La Spinetta,Vürsù Barolo Campè,2010,Barolo,Italy,Italian Barolo,4.42,4/20/15 22:39,,,,,Red Wine,,,,https://www.vivino.com/wines/1752298,https://images.vivino.com/labels/0255n0anq778j.jpg,
Shafer,Hillside Select Cabernet Sauvignon,2010,Stags Leap District,United States,Napa Valley Cabernet Sauvignon,4.64,4/28/15 3:06,,,,,Red Wine,,,,https://www.vivino.com/wines/1753151,https://images.vivino.com/labels/0265m207fle2p.jpg,
Passeport,Beaujolais Gamay,2016,Beaujolais,France,Beaujolais Red,3.78,12/24/17 17:27,,,,,Red Wine,,,,https://www.vivino.com/wines/147599299,https://images.vivino.com/labels/3LJ8PRbiQPuIWwUx5n1kLA.jpg,
Crios,Malbec,2017,Agrelo,Argentina,Argentinian Malbec,3.48,12/24/17 17:29,,,,,Red Wine,,,,https://www.vivino.com/wines/150748414,https://images.vivino.com/labels/MXOpn9UpTQOF-47G80XgCg.jpg,
Dark Horse,Rosé,2016,California,United States,,3.38,12/24/17 17:30,,,,,Rosé Wine,,,,https://www.vivino.com/wines/129246058,https://images.vivino.com/labels/usi2rdzASGW1l02_q_iEzw.jpg,
E. Guigal,Côtes-du-Rhône Rosé,2016,Côtes-du-Rhône,France,Southern Rhône Rosé,3.63,12/24/17 18:13,,,,,Rosé Wine,,,,https://www.vivino.com/wines/118952375,https://images.vivino.com/labels/ww1mCRxhTbKaNT_EeQOqug.jpg,
Kim Crawford,Sauvignon Blanc,2016,Marlborough,New Zealand,New Zealand Sauvignon Blanc,3.99,12/24/17 18:17,,5,,,White Wine,,,,https://www.vivino.com/wines/86109538,https://images.vivino.com/labels/6SAZRxBSTiGMs2FNLztjTA.jpg,
K Vintners,The Beautiful Syrah,2014,Walla Walla Valley,United States,Washington State Syrah,4.19,12/24/17 18:18,,4.5,,,Red Wine,,,,https://www.vivino.com/wines/88904803,https://images.vivino.com/labels/u5lK10_dRjOsqG1RquWHMQ.jpg,
Stratus,Red,2006,Niagara-on-the-Lake,Canada,Canadian Meritage,4.01,12/24/17 18:19,,,,,Red Wine,,,1,https://www.vivino.com/wines/2214691,https://images.vivino.com/labels/th2JesJzQY6L7KuukjO9Sg.jpg,
Argyle,Pinot Noir,2014,Willamette Valley,United States,Oregon Pinot Noir,3.71,12/24/17 18:20,,,,,Red Wine,,,1,https://www.vivino.com/wines/13471982,https://images.vivino.com/labels/BYijBBefSgSaCwpDfJBthQ.jpg,
Hope & Grace,Riesling,2012,Napa Valley,United States,Californian Riesling,3.65,12/24/17 18:21,,,,Bot at hope and grace.  2 4 2,White Wine,,,1,https://www.vivino.com/wines/5542809,https://images.vivino.com/labels/IMNCjIhdSOCdoqboqB_cxA.jpg,
Henri Louis Fagard,Château la Jorine Alfio Moriconi Selection Lussac-Saint-Émilion,2005,Lussac-Saint-Émilion,France,Bordeaux Saint-Émilion,3.7,12/24/17 18:23,,,,,Red Wine,,,1,https://www.vivino.com/wines/2079546,https://images.vivino.com/labels/fXQOYGyQRiOzBjOi0v3XWQ.jpg,
Mount Eden Vineyards,Domaine Eden Cabernet Sauvignon,2010,Santa Cruz Mountains,United States,Californian Cabernet Sauvignon,4.21,12/24/17 18:24,,,,,Red Wine,,,1,https://www.vivino.com/wines/101290623,https://images.vivino.com/labels/6PSL3NyLQWS6S3BSX5u-tw.jpg,
Château Bonnet,Bordeaux,2010,Bordeaux,France,Bordeaux Red,3.5,12/24/17 18:25,,,,,Red Wine,,,1,https://www.vivino.com/wines/2122416,https://images.vivino.com/labels/NbdKtGyvTIadmJFXCsQDEQ.jpg,
Decoy,Sonoma County Zinfandel,2013,Sonoma County,United States,Californian Zinfandel,3.84,12/24/17 18:26,,,,,Red Wine,,,1,https://www.vivino.com/wines/2982808,https://images.vivino.com/labels/gm0KALKaRjixk5A7WQa7Tg.jpg,
Frog's Leap,Zinfandel,2013,Napa Valley,United States,Californian Zinfandel,3.92,12/24/17 18:27,,,,,Red Wine,,,1,https://www.vivino.com/wines/3527994,https://images.vivino.com/labels/qWap_g24Tja0777cNXn9_g.jpg,
DAOU,Cabernet Sauvignon,2014,Paso Robles,United States,Californian Cabernet Sauvignon,4.1,12/24/17 18:28,,,,,Red Wine,,,1,https://www.vivino.com/wines/94058929,https://images.vivino.com/labels/jbCrzhsuQzudril7Js-1Ig.jpg,
Cruz Alta,Reserve Cabernet Sauvignon,2012,Mendoza,Argentina,Argentinian Cabernet Sauvignon,3.62,12/24/17 18:29,,,,,Red Wine,,,1,https://www.vivino.com/wines/1963579,https://images.vivino.com/labels/3E4SvkdXR4qWkVaSenIjyw.jpg,
Bell,Clone 6 Cabernet Sauvignon,2012,Rutherford,United States,Napa Valley Cabernet Sauvignon,4.58,12/24/17 18:30,,5,,,Red Wine,,,,https://www.vivino.com/wines/7363389,https://images.vivino.com/labels/Z5JgHhV-TQ2ErJLcOxsU2w.jpg,
Caymus,Cabernet Sauvignon,2013,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.56,12/24/17 18:32,,,,,Red Wine,,,1,https://www.vivino.com/wines/2504750,https://images.vivino.com/labels/rpdiiYmqSvmR-4loh_U5cQ.jpg,
Chateau Ste. Michelle,Cabernet Sauvignon,2006,Columbia Valley,United States,Washington State Cabernet Sauvignon,3.76,12/24/17 18:33,,,,,Red Wine,,,,https://www.vivino.com/wines/1131520,https://images.vivino.com/labels/JwKSjr2mQE2gJrlubJ5MNQ.jpg,
Orin Swift,Palermo Cabernet Sauvignon,2014,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.28,12/24/17 18:38,,,,,Red Wine,,,1,https://www.vivino.com/wines/4311438,https://images.vivino.com/labels/WFAFmSrhTIuAuexZCWq7Ag.jpg,
Caymus,Special Selection Cabernet Sauvignon,2009,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.64,12/24/17 18:39,,,,,Red Wine,,,1,https://www.vivino.com/wines/1273114,https://images.vivino.com/labels/KQKO4B--SVSws3ubElC-rw.jpg,
Hall,Napa Valley Cabernet Sauvignon,2016,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.22,12/24/17 18:40,,,,,Red Wine,,,1,https://www.vivino.com/wines/107206077,https://images.vivino.com/labels/Nr3EQJ8VS6K0FzkqQwLkIw.jpg,
Philippe Raimbault,Apud Sariacum Sancerre,2017,Sancerre,France,Upper Loire White,3.84,6/12/18 18:10,The Saddle Room,5,Exdellent pairing with seared scallops,,White Wine,,,,https://www.vivino.com/wines/156775452,https://images.vivino.com/labels/FfCKCxnuQSSjmcE6QKELWA.jpg,
De Bortoli,Deen Vat Series Vat 5 Botrytis Sémillon,2011,Riverina,Australia,,3.76,6/13/18 19:31,,,,,Dessert Wine,,,,https://www.vivino.com/wines/30102741,https://images.vivino.com/labels/eH51pPnIR_KzsatEXUh9LQ.jpg,
Sandeman,Founder's Reserve Ruby Port,2017,Porto,Portugal,Ruby Port,3.99,7/3/18 21:23,,,,,Fortified Wine,,,1,https://www.vivino.com/wines/156049668,https://images.vivino.com/labels/-33e4VuIQmuxdVbXaSBHgg.jpg,
W. & J. Graham's,Late Bottled Vintage Port,2012,Porto,Portugal,Late Bottled Vintage Port (LBV),4.02,7/3/18 21:26,,,,,Fortified Wine,,,,https://www.vivino.com/wines/1821759,https://images.vivino.com/labels/QbjbZ7BORjuUHIfTaSz2eg.jpg,
Antoine Moueix,La Fleur Renaissance Sauternes,2011,Sauternes,France,Bordeaux Sauternes,3.75,7/3/18 21:27,,,,,Dessert Wine,,,,https://www.vivino.com/wines/6121628,https://images.vivino.com/labels/Nx-jfpcjRWGF_iVaubMuYw.jpg,
Château Laribotte,Sauternes,2013,Sauternes,France,Bordeaux Sauternes,4.04,7/3/18 21:28,,4,Very good but a bit light for my taste.  ,,Dessert Wine,,,1,https://www.vivino.com/wines/68379859,https://images.vivino.com/labels/QUZDe57dTj6Jd8RIHOJ9cA.jpg,
Merryvale,Premiere Napa Valley Cabernet Sauvignon,2015,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.28,7/3/18 21:31,,,,,Red Wine,,,,https://www.vivino.com/wines/151550482,https://images.vivino.com/labels/R4ipOE3YTPmBRrwtJxlsvA.jpg,
Fetzer,Shaly Loam Gewürztraminer,2016,Monterey County,United States,Californian Gewürztraminer,3.85,7/4/18 16:19,,,,,White Wine,,,,https://www.vivino.com/wines/85279517,https://images.vivino.com/labels/KJ0-QGffQ32lxmzU9JXoDw.jpg,
Elk Cove,Ultima White,2014,Willamette Valley,United States,,4.14,7/6/18 17:15,,,,,Dessert Wine,,,,https://www.vivino.com/wines/143626399,https://images.vivino.com/labels/h7QSs93cQLSyA6XWnjDBtA.jpg,
Yalumba,Museum Reserve Muscat,2012,Rutherglen,Australia,,4,7/6/18 17:16,,,,,Dessert Wine,,,,https://www.vivino.com/wines/1963496,https://images.vivino.com/labels/MHTZUTq5Q3-6XiDptZCxPA.jpg,
Pine Ridge,Napa Valley Cabernet Sauvignon,2015,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.29,7/9/18 22:46,,,,Alex July 2018,Red Wine,,,1,https://www.vivino.com/wines/18239853,https://images.vivino.com/labels/v07zHJApSQSmd5a2cgeZCA.jpg,
K Vintners,Guido Sangiovese,2015,Walla Walla Valley,United States,Washington State Red Blend,3.95,7/18/18 22:30,,,,,Red Wine,,,,https://www.vivino.com/wines/151977933,https://images.vivino.com/labels/fPXE05q9RUGmMdm8U9sgcg.jpg,
Migration,Sonoma Coast Pinot Noir,2016,Sonoma Coast,United States,Californian Pinot Noir,4.13,9/8/18 22:42,,4,Excellent with steak and seafood.  ,,Red Wine,,,,https://www.vivino.com/wines/156846074,https://images.vivino.com/labels/309-eu1KRpKjtW7rsayj3Q.jpg,
Radio-Coteau,Laguna Pinot Noir,2016,Russian River Valley,United States,Californian Pinot Noir,4.23,11/2/18 3:45,,4.5,Alex Rosen dinner at The Progress.  Great Pinot. ,,Red Wine,,,,https://www.vivino.com/wines/156327774,https://images.vivino.com/labels/O0hklv6PSTCwGxv3TZOxtA.jpg,
Mindego Ridge,Pinot Noir,2014,Santa Cruz Mountains,United States,Californian Pinot Noir,4.22,11/6/18 20:04,,,,From Alex Rosen.  Nov 2018,Red Wine,,,1,https://www.vivino.com/wines/141986394,https://images.vivino.com/labels/kq8V4coIT3K7vTT5BaZAXQ.jpg,
La Perrière,Sancerre Blanc,2016,Sancerre,France,Upper Loire White,3.99,11/22/18 0:48,,4.5,Let it open and it’s great with cheese and seafood,,White Wine,,,,https://www.vivino.com/wines/146446273,https://images.vivino.com/labels/HhSCA4q_RgGZMz82QhniWw.jpg,
Allegrini,Valpolicella Superiore,2016,Valpolicella,Italy,Italian Valpolicella Red,3.68,11/23/18 0:57,,,,,Red Wine,,,1,https://www.vivino.com/wines/98611695,https://images.vivino.com/labels/mV5GO7vCRG2oxZi4k_sr_A.jpg,
Dog Point,Pinot Noir,2009,Marlborough,New Zealand,New Zealand Pinot Noir,4.02,12/5/18 3:16,,5,Smooth.  Great color.  Easy finish ,Lotus of Siam Dec 2018 Tech Impact,Red Wine,,,,https://www.vivino.com/wines/1240055,https://images.vivino.com/labels/soQqkMpSTpOEWX5Q4VAsEQ.jpg,
Zuccardi,Malamado Malbec,2014,Mendoza,Argentina,Argentinian Malbec,3.73,12/21/18 15:21,,,,,Dessert Wine,,,1,https://www.vivino.com/wines/5092599,https://images.vivino.com/labels/wlkwi98lQ7quIU2Q88EVQQ.jpg,
Talley Vineyards,Estate Pinot Noir,2016,Arroyo Grande Valley,United States,Californian Pinot Noir,3.93,1/15/19 2:56,,4.5,Smooth no aftertaste.  Great with duck,,Red Wine,,,,https://www.vivino.com/wines/112707468,https://images.vivino.com/labels/1N5NKOTeTBOFzJZpH22cJA.jpg,
Poggio Al Tesoro,Solosole Vermentino,2017,Bolgheri,Italy,Central Italy White,3.87,1/17/19 21:53,,5,Perfect for afternoon tapas and wine,,White Wine,,,,https://www.vivino.com/wines/150513261,https://images.vivino.com/labels/9vjDYi_uQM2TpRopsxkgQQ.jpg,
Red Vin,Sweet Red,2008,Rheinhessen,Germany,,3.67,3/29/19 20:49,,,,,Red Wine,,,,https://www.vivino.com/wines/11788718,https://images.vivino.com/labels/onSaAjVYTqSlIpqDGgrZAQ.jpg,
Murphy-Goode,Merlot,2007,California,United States,Californian Merlot,3.65,4/22/19 14:30,,,,,Red Wine,,,1,https://www.vivino.com/wines/1172251,https://images.vivino.com/labels/6xxCVUJ5Q02w3ERsNoWgyg.jpg,
Wyndham,Shiraz BIN 555,2003,South Eastern Australia,Australia,Australian Shiraz,3.55,4/22/19 14:32,,,,,Red Wine,,,1,https://www.vivino.com/wines/1165247,https://images.vivino.com/labels/jnXc_CioR2-nU1kYJauAbA.jpg,
Kenwood,Cabernet Sauvignon,2004,Sonoma County,United States,Californian Cabernet Sauvignon,3.63,4/22/19 14:33,,,,,Red Wine,,,,https://www.vivino.com/wines/88311,https://images.vivino.com/labels/fkAYq5x5QpS6x1uWzMY4cQ.jpg,
Cypress Vineyards,Cabernet Sauvignon,1997,Central Coast,United States,Californian Cabernet Sauvignon,3.71,4/22/19 14:35,,,,,Red Wine,,,1,https://www.vivino.com/wines/6841224,https://images.vivino.com/labels/byTSsdKfRaauVObwqKzBzg.jpg,
Louis M. Martini,Cabernet Sauvignon,2006,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.05,4/22/19 14:36,,,,,Red Wine,,,1,https://www.vivino.com/wines/100614,https://images.vivino.com/labels/SwSPaF1ETkuOLkB_iBel8g.jpg,
Gnarled Vine,Zinfandel,2005,California,United States,Californian Zinfandel,3.75,4/22/19 14:36,,,,,Red Wine,,,1,https://www.vivino.com/wines/3331150,https://images.vivino.com/labels/-OvmIiSJQ3GN4sWRsFTiZQ.jpg,
Salmon Run,Meritage,2006,Finger Lakes,United States,,3.42,4/22/19 14:37,,,,,Red Wine,,,,https://www.vivino.com/wines/5881,https://images.vivino.com/labels/hD5-y8R4T0eaM4E6vK4sBA.jpg,
Beringer,Napa Valley Cabernet Sauvignon (White Label),2005,Napa Valley,United States,Napa Valley Cabernet Sauvignon,3.99,4/22/19 14:39,,,,,Red Wine,,,1,https://www.vivino.com/wines/22968,https://images.vivino.com/labels/2tEvHdXVQU2_aQ0dezK08w.jpg,
Wilson,Carl's Zinfandel,2006,Dry Creek Valley,United States,Californian Zinfandel,4.04,4/22/19 14:39,,,,,Red Wine,,,1,https://www.vivino.com/wines/1868921,https://images.vivino.com/labels/UZF5sjgbR8GuFXMFxDOVgQ.jpg,
Dominican Oaks,Cabernet Sauvignon,2009,Napa Valley,United States,Napa Valley Cabernet Sauvignon,3.71,4/22/19 14:40,,,,,Red Wine,,,1,https://www.vivino.com/wines/1282345,https://images.vivino.com/labels/QLrZ28LjSuGHhfoOtnAOEQ.jpg,
Bonterra,Zinfandel,2005,Mendocino County,United States,Californian Zinfandel,3.67,4/22/19 14:41,,,,,Red Wine,,,,https://www.vivino.com/wines/1092,https://images.vivino.com/labels/dkyS5QsdStKHbHhA-XfKig.jpg,
Chimney Rock,Elevage ,2003,Stags Leap District,United States,Californian Red Blend,4.32,5/15/19 2:37,,,,,Red Wine,,,1,https://www.vivino.com/wines/1817095,https://images.vivino.com/labels/vEaxybl0R9mGI-uW7aCuFw.jpg,
Pine Ridge,Napa Valley Cabernet Sauvignon,2015,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.29,5/22/19 0:10,,,,,Red Wine,,,1,https://www.vivino.com/wines/18239853,https://images.vivino.com/labels/ASXzpdasSd6M-OZusAguFA.jpg,
Matthiasson,Cabernet Sauvignon,2015,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.25,5/22/19 2:37,,,,,Red Wine,,,,https://www.vivino.com/wines/143384612,https://images.vivino.com/labels/O-YCKuyXR3CrD6n3id5Glg.jpg,
Pine Ridge,Napa Valley Cabernet Sauvignon,2015,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.29,7/15/19 12:45,,,,,Red Wine,,,1,https://www.vivino.com/wines/18239853,https://images.vivino.com/labels/-e4bBdgXTPu8SlDEGzu-IQ.jpg,
Hay Maker,Sauvignon Blanc,2018,Marlborough,New Zealand,New Zealand Sauvignon Blanc,3.82,7/15/19 12:49,,,,,White Wine,,,1,https://www.vivino.com/wines/156170498,https://images.vivino.com/labels/JAv42CUNSzetdeLdr_RCUg.jpg,
Red Tail Ridge,Riesling,2016,Seneca Lake,United States,,3.79,8/14/19 23:07,,,,Had at Huntley Tavern in Summit.  Great with salmon.   Crisp. Some fruit.,White Wine,,,,https://www.vivino.com/wines/149141579,https://images.vivino.com/labels/jpBj_HVOQEq-cIpkLWCEUg.jpg,
Titus,Cabernet Franc,2016,Napa Valley,United States,Californian Cabernet Franc,4.19,11/22/19 3:53,,5,Alex dinner Nov 2019.  Very good. ,,Red Wine,,,,https://www.vivino.com/wines/148864338,https://images.vivino.com/labels/ovKIY0BGTzieDl3yQRMOyw.jpg,
Beaux Frères,The Beaux Frères Vineyard Pinot Noir,2017,Ribbon Ridge,United States,Oregon Pinot Noir,4.42,12/13/19 1:32,,,,,Red Wine,,,1,https://www.vivino.com/wines/152317627,https://images.vivino.com/labels/xuormfFpQvqZY_fb-isAPw.jpg,
