Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Wishlisted date,Cellar count,Link to wine,Label image,Wine price
The Hess Collection,Allomi Cabernet Sauvignon,2017,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.08,2020-05-15 23:25:55,,,,Ordered 3 more.,Red Wine,,,1,https://www.vivino.com/wines/151616724,https://images.vivino.com/labels/k1uRTl-gRPikzUR9Gg5D7A.jpg,
Château Suduiraut,Sauternes (Premier Grand Cru Classé),2007,Sauternes,France,Bordeaux Sauternes,4.32,2020-05-15 23:17:45,,,,Bot on recmdtn.  Wine.com?,Dessert Wine,,,1,https://www.vivino.com/wines/2667186,https://images.vivino.com/labels/AmHaLkFhS7GB4KACDLW4fw.jpg,
Château de Nalys,Saintes Pierres de Nalys Châteauneuf-du-Pape Rouge,2017,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.06,2020-05-15 23:15:12,,,,Laura B Tasting May 2020,Red Wine,,,1,https://www.vivino.com/wines/158924091,https://images.vivino.com/labels/yZyIZp-DQ8CkSElNYg7R0g.jpg,
Fèlsina,Berardenga Chianti Classico Riserva,2016,Chianti Classico,Italy,Italian Chianti,3.93,2020-05-15 23:14:03,,,,Bot full bottle after class success,Red Wine,,,1,https://www.vivino.com/wines/147601706,https://images.vivino.com/labels/wghaEcomTQOa094pWKy6gw.jpg,
Château d'Aqueria,Tavel Rosé,2018,Tavel,France,Southern Rhône Rosé,3.66,2020-05-15 19:32:23,,,,Bot from recmdtn or Laura B  5/2020,Rosé Wine,,,1,https://www.vivino.com/wines/156790222,https://images.vivino.com/labels/zFSAIj6ZRZuLFMfUrlEiWg.jpg,
Château Mayne-Vieil,Cuvée Alienor Fronsac,2016,Fronsac,France,Bordeaux Libournais Red,3.69,2020-05-10 00:13:57,,,,This is from Wine Class 2.   Was not available at time of class. 1 3 1,Red Wine,,,1,https://www.vivino.com/wines/141451805,https://images.vivino.com/labels/t-u_dD0RSQKsUnJHGJCerA.jpg,
RoseRock,Pinot Noir,2016,Eola-Amity Hills,United States,Oregon Pinot Noir,3.98,2020-05-09 20:42:04,,,,Laura tasting May 10.   2 3 4,Red Wine,,,1,https://www.vivino.com/wines/151484594,https://images.vivino.com/labels/4Fkpln1EQeC6pno5neK59A.jpg,
Saracco,Moscato d'Asti,2019,Moscato d'Asti,Italy,Italian Moscato d'Asti,4.13,2020-05-08 22:38:23,,,,,Sparkling,,,2,https://www.vivino.com/wines/159567859,https://images.vivino.com/labels/9Ty3thN8Q1SpgFdQw5bnuQ.jpg,
Fontanafredda,Gavi di Gavi,2018,Gavi,Italy,Italian Gavi,3.86,2020-05-08 21:54:29,,,,Last one 2 3 4,White Wine,,,1,https://www.vivino.com/wines/156147205,https://images.vivino.com/labels/rz5pZqPeRES4t0I5PI1sTw.jpg,
Darioush,Viognier (Signature),2014,Napa Valley,United States,Californian Viognier,4.26,2020-05-07 20:51:00,,,,Bot at Darioush.   2 4 1,White Wine,,,1,https://www.vivino.com/wines/5876685,https://images.vivino.com/labels/MPLQTA4VRsikCGZiJ6SwJQ.jpg,
Henri Louis Fagard,Chateau De Cornemps Bordeaux Supérieur,2005,Bordeaux Supérieur,France,Bordeaux Red,4.13,2020-05-06 15:56:40,,,,4 2 3,Red Wine,,,1,https://www.vivino.com/wines/154460502,https://images.vivino.com/labels/k2UJ5sUMTn6rd10cNkLcpA.jpg,
Dr. Loosen,Dr. L Riesling,2018,Mosel,Germany,German Riesling,3.84,2020-05-06 15:44:28,,,,,White Wine,,,1,https://www.vivino.com/wines/156296643,https://images.vivino.com/labels/zMQX-EWpQE-7yYMuEneq8g.jpg,
